url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/the-chris-gethard-show\/season-3\/episode-23\/pot-brownie-roulette,WatchAction,en,US,2018-08-16T11:00:00+00:00,2020-09-20T11:00:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-3\/episode-27\/parks-wreck,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-8\/episode-30\/summer-vacation,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:00+00:00,TBS,TVE
\/shows\/the-carbonaro-effect-inside-carbonaro\/season-1\/episode-35\/3d-galastical-morphin-ranging-power,WatchAction,en,US,2020-03-15T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-7\/episode-28\/march-madness-breakdown,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:47+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-6\/episode-22\/the-walking-dread,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/trutv-top-funniest\/season-3\/episode-11\/masters-of-disasters,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-3\/episode-18\/clash-of-the-jokers,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/billy-on-the-street\/season-4\/episode-5\/shondaland-with-bill-hader-and-amy-sedaris,WatchAction,en,US,2018-10-01T11:00:00+00:00,2020-10-26T11:00:00+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-1\/episode-7\/out-of-tp,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-3\/episode-16\/junk-in-the-trunk,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/laff-mobbs-laff-tracks\/season-1\/episode-3\/ride-or-die,WatchAction,en,US,2019-09-16T11:00:00+00:00,2020-04-27T11:00:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-8\/episode-5\/blue-man-dupe,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/almost-genius\/season-1\/episode-8\/standing-ovation,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/almost-genius\/season-1\/episode-18\/flying-low,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/paid-off-with-michael-torpey\/season-1\/episode-17\/were-still-screwed,WatchAction,en,US,2019-09-12T11:00:00+00:00,2020-07-20T11:00:59+00:00,TBS,TVE
\/shows\/the-chris-gethard-show\/season-3\/episode-19\/will-ferrell-saves-this-show,WatchAction,en,US,2018-08-16T11:00:00+00:00,2020-09-20T11:00:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-8\/episode-21\/bad-carma,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers-after-party\/season-3\/episode-5\/fraudway,WatchAction,en,US,2020-02-01T10:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/shows\/jon-glaser-loves-gear\/season-1\/episode-9\/leisure,WatchAction,en,US,2019-11-18T13:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/chris-webbers-full-court-pranks\/season-1\/episode-8\/hope-solo-vs-chyna-the-fan,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-5\/episode-28\/ncaa-march-madness-showdown,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-6\/episode-17\/the-q-pay,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
