maturity_rating,program_title,url,viewable_runtime,is_movie,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,program_url
TV-14,The Man from U.N.C.L.E. [Uncut],\/movies\/the-man-from-uncle-theatrical,6993.0528,movie,2132437,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/the-man-from-uncle-theatrical
R,Stronger [Uncut],\/movies\/stronger-uncut,7142.5021,movie,2192496,en,US,2020-03-15T08:00:00+00:00,2020-05-16T06:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/stronger-uncut
PG-13,Blades of Glory [Uncut],\/movies\/blades-of-glory-uncut,5596.3907,movie,2187621,en,US,2020-03-01T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/blades-of-glory-uncut
PG-13,Disturbia [Uncut],\/movies\/disturbia-uncut,6287.0474,movie,2187381,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/disturbia-uncut
PG-13,Geostorm [Uncut],\/movies\/geostorm-uncut,6542.6694,movie,2189924,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/geostorm-uncut
R,Keanu,\/movies\/keanu-theatrical,5995.0891,movie,2159109,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/keanu-theatrical
PG-13,Life As We Know It,\/movies\/life-as-we-know-it,6127.3212,movie,778489,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/life-as-we-know-it
PG-13,Norbit [Uncut],\/movies\/norbit-uncut,6134.1946,movie,2187630,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/norbit-uncut
R,It,\/movies\/it,7862.3211,movie,2117628,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/it
TV-MA,Run All Night,\/movies\/run-all-night-theatrical,6863.6566,movie,2132446,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/run-all-night-theatrical
PG-13,The Imitation Game [Uncut],\/movies\/the-imitation-game-uncut,6832.7259,movie,2166096,en,US,2019-11-14T22:30:00+00:00,2020-10-29T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/the-imitation-game-uncut
PG-13,47 Ronin [Uncut],\/movies\/47-ronin-uncut,7121.4478,movie,2152290,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/47-ronin-uncut
R,Lone Survivor [Uncut],\/movies\/lone-survivor-uncut,7280.3065,movie,2194463,en,US,2020-04-18T08:00:00+00:00,2020-07-17T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/lone-survivor-uncut
PG-13,The Dark Knight Rises [Uncut],\/movies\/the-dark-knight-rises-uncut,9877.7678,movie,2215192,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/the-dark-knight-rises-uncut
PG,Beauty and the Beast,\/movies\/beauty-and-the-beast,7194.8545,movie,2057037,en,US,2020-04-07T08:00:00+00:00,2020-05-08T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/beauty-and-the-beast
