bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,provider_original
tbs,1.0.0,US,05/08/2020,0,TVE,Search Party,1,4,The Captive Dinner Guest (Uncut),05/01/2020,12/11/2020,1380,TV-MA,en,http://www.tbs.com/shows/search-party,http://www.tbs.com/shows/search-party/season-1/episode-4/the-captive-dinner-guest-uncut,2074707,2093141,1
tbs,1.0.0,US,05/08/2020,0,TVE,Search Party,1,5,The Mystery of the Golden Charm (Uncut),05/01/2020,12/11/2020,1377,TV-MA,en,http://www.tbs.com/shows/search-party,http://www.tbs.com/shows/search-party/season-1/episode-5/the-mystery-of-the-golden-charm-uncut,2074707,2093142,1
tbs,1.0.0,US,05/08/2020,0,TVE,Friends,1,8,The One Where Nana Dies Twice,05/04/2020,05/11/2020,1232,TV-14,en,http://www.tbs.com/shows/friends,http://www.tbs.com/shows/friends/season-1/episode-8/the-one-where-nana-dies-twice,322296,338615,0
tbs,1.0.0,US,05/08/2020,0,TVE,Friends,1,11,The One With Mrs. Bing ,05/04/2020,05/11/2020,1233,TV-PG,en,http://www.tbs.com/shows/friends,http://www.tbs.com/shows/friends/season-1/episode-11/the-one-with-mrs-bing,322296,338618,0
tbs,1.0.0,US,05/08/2020,0,TVE,Friends,2,22,The One With The Two Parties ,05/04/2020,05/11/2020,1232,TV-PG,en,http://www.tbs.com/shows/friends,http://www.tbs.com/shows/friends/season-2/episode-22/the-one-with-the-two-parties,322296,338653,0
tbs,1.0.0,US,05/08/2020,0,TVE,Friends,4,3,The One With The Cuffs ,05/04/2020,05/11/2020,1232,TV-14,en,http://www.tbs.com/shows/friends,http://www.tbs.com/shows/friends/season-4/episode-3/the-one-with-the-cuffs,322296,338686,0
tbs,1.0.0,US,05/08/2020,0,TVE,Friends,8,20,The One With The Baby Shower ,05/04/2020,05/11/2020,1232,TV-PG,en,http://www.tbs.com/shows/friends,http://www.tbs.com/shows/friends/season-8/episode-20/the-one-with-the-baby-shower,322296,431373,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,8,58,Conan Without Borders: Italy,05/01/2020,01/01/2021,2525,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-8/episode-58/conan-without-borders-italy,803139,2134500,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,8,117,Conan Without Borders: Japan,05/01/2020,01/01/2021,2523,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-8/episode-117/conan-without-borders-japan,803139,2159787,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,9,38,Conan Without Borders: Australia,05/01/2020,01/01/2021,2524,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-9/episode-38/conan-without-borders-australia,803139,2174572,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,9,82,Conan Without Borders: Greenland,05/01/2020,01/01/2021,2527,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-9/episode-82/conan-without-borders-greenland,803139,2174616,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,9,102,Conan Without Borders: Ghana,05/01/2020,01/01/2021,2586,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-9/episode-102/conan-without-borders-ghana,803139,2174636,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,10,48,"April 23, 2020",04/24/2020,05/09/2020,1261,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-10/episode-48/april-23-2020,803139,2213693,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,10,49,"April 27, 2020",04/28/2020,05/13/2020,1261,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-10/episode-49/april-27-2020,803139,2213694,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,10,50,"April 28, 2020",04/29/2020,05/14/2020,1262,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-10/episode-50/april-28-2020,803139,2213695,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,10,51,"April 29, 2020",04/30/2020,05/15/2020,1261,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-10/episode-51/april-29-2020,803139,2213696,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,10,52,"April 30, 2020",05/01/2020,05/16/2020,1261,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-10/episode-52/april-30-2020,803139,2213697,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,10,53,"May 4, 2020",05/05/2020,05/20/2020,1261,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-10/episode-53/may-4-2020,803139,2213698,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,10,54,"May 5, 2020",05/06/2020,05/21/2020,1261,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-10/episode-54/may-5-2020,803139,2213699,0
tbs,1.0.0,US,05/08/2020,0,TVE,Conan,10,55,"May 6, 2020",05/07/2020,05/22/2020,1261,TV-14,en,http://www.tbs.com/shows/conan,http://www.tbs.com/shows/conan/season-10/episode-55/may-6-2020,803139,2213700,0
tbs,1.0.0,US,05/08/2020,0,TVE,Family Guy,1,1,Death Has a Shadow,05/07/2020,05/14/2020,1232,TV-14,en,http://www.tbs.com/shows/family-guy,http://www.tbs.com/shows/family-guy/season-1/episode-1/death-has-a-shadow,440990,440991,0
tbs,1.0.0,US,05/08/2020,0,TVE,Family Guy,1,4,Mind Over Murder,05/07/2020,05/14/2020,1280,TV-14,en,http://www.tbs.com/shows/family-guy,http://www.tbs.com/shows/family-guy/season-1/episode-4/mind-over-murder,440990,440994,0
tbs,1.0.0,US,05/08/2020,0,TVE,Family Guy,5,1,Stewie Loves Lois,05/07/2020,05/14/2020,1232,TV-14,en,http://www.tbs.com/shows/family-guy,http://www.tbs.com/shows/family-guy/season-5/episode-1/stewie-loves-lois,440990,638932,0
tbs,1.0.0,US,05/08/2020,0,TVE,Family Guy,6,4,Stewie Kills Lois,05/07/2020,05/14/2020,1232,TV-14,en,http://www.tbs.com/shows/family-guy,http://www.tbs.com/shows/family-guy/season-6/episode-4/stewie-kills-lois,440990,666744,0
tbs,1.0.0,US,05/08/2020,0,TVE,Family Guy,6,5,Lois Kills Stewie,05/07/2020,05/14/2020,1232,TV-14,en,http://www.tbs.com/shows/family-guy,http://www.tbs.com/shows/family-guy/season-6/episode-5/lois-kills-stewie,440990,652690,0
tbs,1.0.0,US,05/08/2020,0,TVE,Family Guy,11,6,Lois Comes Out of Her Shell,05/07/2020,05/14/2020,1232,TV-14,en,http://www.tbs.com/shows/family-guy,http://www.tbs.com/shows/family-guy/season-11/episode-6/lois-comes-out-of-her-shell,440990,809249,0
tbs,1.0.0,US,05/08/2020,0,TVE,Family Guy,11,14,Call Girl,05/07/2020,05/14/2020,1230,TV-14,en,http://www.tbs.com/shows/family-guy,http://www.tbs.com/shows/family-guy/season-11/episode-14/call-girl,440990,809256,0
tbs,1.0.0,US,05/08/2020,0,TVE,Family Guy,13,10,Quagmire's Mom,05/07/2020,05/14/2020,1227,TV-14,en,http://www.tbs.com/shows/family-guy,http://www.tbs.com/shows/family-guy/season-13/episode-10/quagmires-mom,440990,809292,0
