bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,is_original
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Knocked Up [Uncut],03/31/2020,05/01/2020,7741,R,en,,http://www.tntdrama.com/movies/knocked-up-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Beauty and the Beast,04/07/2020,05/08/2020,7194,PG,en,,http://www.tntdrama.com/movies/beauty-and-the-beast,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Disturbia [Uncut],04/01/2020,05/01/2020,6287,PG-13,en,,http://www.tntdrama.com/movies/disturbia-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Elysium,04/01/2020,05/01/2020,6583,R,en,,http://www.tntdrama.com/movies/elysium-theatrical,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Run All Night,04/01/2020,05/01/2020,6863,TV-MA,en,,http://www.tntdrama.com/movies/run-all-night-0,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Shooter [Uncut],04/01/2020,05/16/2020,7551,TV-MA,en,,http://www.tntdrama.com/movies/shooter-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Angels in the Infield,04/01/2020,05/01/2020,5166,TV-PG,en,,http://www.tntdrama.com/movies/angels-in-the-infield,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Sex and the City 2,03/02/2020,05/31/2020,7862,R,en,,http://www.tntdrama.com/movies/sex-and-the-city-2,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Stronger [Uncut],03/15/2020,05/16/2020,7142,R,en,,http://www.tntdrama.com/movies/stronger-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,The Imitation Game [Uncut],11/14/2019,10/29/2020,6832,PG-13,en,,http://www.tntdrama.com/movies/the-imitation-game-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Semi-Pro [Uncut],04/01/2020,05/16/2020,5486,R,en,,http://www.tntdrama.com/movies/semi-pro-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Life As We Know It,04/01/2020,05/01/2020,6127,PG-13,en,,http://www.tntdrama.com/movies/life-as-we-know-it,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Maleficent,04/07/2020,05/08/2020,4804,PG,en,,http://www.tntdrama.com/movies/maleficent,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Flight,04/01/2020,05/01/2020,8331,R,en,,http://www.tntdrama.com/movies/flight-theatrical,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Shut In [Uncut],12/31/2019,01/01/2021,5463,PG-13,en,,http://www.tntdrama.com/movies/shut-in-theatrical,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Thor: Ragnarok,04/01/2020,05/01/2020,7262,PG-13,en,,http://www.tntdrama.com/movies/thor-ragnarok,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Non-Stop [Uncut],04/17/2020,06/16/2020,6400,PG-13,en,,http://www.tntdrama.com/movies/non-stop-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Into the Storm,04/14/2020,04/30/2020,4586,PG-13,en,,http://www.tntdrama.com/movies/into-the-storm,,,
